item_code,name,description,unit,quantity,location,min_level,reorder_qty,category,active
STIFNESS 3PBA,Intender,STIFNESS INTENDER,Nos,0,,0,0,METAL,1
IS 15477 DEF Base,IS 15477 DEFORM,Deformation Base Frame,Nos,9,,0,0,METAL,1
IS 15477 DEF SEMI CIRCULE,IS 15477 DEFORM,SEMI CIRCULE,Nos,18,,0,0,METAL,1
IS 15477 DEF Temp A,IS 15477 DEFORM,Template A,Nos,1,,0,0,METAL,1
IS 15477 DEF Temp B,IS 15477 DEFORM,Template B,Nos,16,,0,0,METAL,1
IS 15477 PULL PULLER,IS 15477 PULL PULLER,PULLER R12,Nos,2,,0,0,METAL,1
IS 15477 SHEAR,IS 15477 SHEAR,SHEAR FIXTURE BODY,Nos,3,,0,0,METAL,1
IS 15477 PULL OFF FRAME,IS15477 Pull Off Frame,Pull off Fixtures,Nos,7,,0,0,METAL,1
IS15477 SLIP Spacer,IS15477 Spacer,Spacer,Nos,10,,0,0,METAL,1
IS15477 SLIP Straight Egde,IS15477 Straight Egde,SS 304 | 300mm,Nos,10,,0,0,METAL,1
STAR NOB M12 X 40,Knob M12,knob,Nos,0,,0,0,HARDWARE,1
STAR NOB M8 X 40,Knob M8,knob,Nos,100,,0,0,HARDWARE,1
Konb screw M4x10,Konb screw,M4x10,Nos,0,,0,0,HARDWARE,1
Konb screw M5x15,Konb screw,M5x15,Nos,0,,0,0,HARDWARE,1
Konb screw M8x50,Konb screw,M8x50,Nos,0,,0,0,HARDWARE,1
OMRON - E2B-M12KS04-WP-B1-2M,Limit sensor,OMRON - E2B-M12KS04-WP-B1-2M,Nos,0,,0,0,ELECTRICAL,1
LM10UU,Linear bearing LM10UU,LM10UU,Nos,6,,0,0,TRANSMISSION,1
LMK 20UU,Linear bearing LMK 20UU,LMK 20UU,Nos,13,,0,0,TRANSMISSION,1
LMK 30UU,Linear bearing LMK 30UU,LMK 30UU,Nos,27,,0,0,TRANSMISSION,1
Loadcell 100kg Maxload,Loadcell 100kg,S-Type | Maxload,Nos,1,,0,0,ELECTRICAL,1
Loadcell 10000kg Maxload,Loadcell 100kN,ULC-L | Maxload,Nos,2,,0,0,ELECTRICAL,1
Loadcell 100kN | Rudraa,Loadcell 100kN,ULC-L | Rudraa,Nos,0,,0,0,ELECTRICAL,1
Loadcell 10kg Maxload,Loadcell 10kg,S-Type | Maxload,Nos,3,,0,0,ELECTRICAL,1
Loadcell 1000kg Maxload,Loadcell 10kN,S-Type | Maxload,Nos,3,,0,0,ELECTRICAL,1
Loadcell 200kg Maxload,Loadcell 200kg,S-Type | Maxload,Nos,1,,0,0,ELECTRICAL,1
Loadcell 20kg Maxload,Loadcell 20kg,S-Type | Maxload,Nos,1,,0,0,ELECTRICAL,1
Loadcell 2000kg Maxload,Loadcell 20kN,S-Type | Maxload,Nos,1,,0,0,ELECTRICAL,1
Loadcell 30kg Maxload,Loadcell 30kg,S-Type | Maxload,Nos,3,,0,0,ELECTRICAL,1
Loadcell 3000kg Maxload,Loadcell 30kN,S-Type | Maxload,Nos,1,,0,0,ELECTRICAL,1
Loadcell 50kg Maxload,Loadcell 50kg,S-Type | Maxload,Nos,3,,0,0,ELECTRICAL,1
Loadcell 5000kg Maxload,Loadcell 50kN,S-Type | Maxload,Nos,5,,0,0,ELECTRICAL,1
Loadcell 5kg Maxload,Loadcell 5kg,S-Type | Maxload,Nos,3,,0,0,ELECTRICAL,1
Loadcell 500kg Maxload,Loadcell 5kN,S-Type | Maxload,Nos,3,,0,0,ELECTRICAL,1
Love-joy Coupling L100,Love-joy Coupling,L100,Nos,10,,0,0,TRANSMISSION,1
LOVEJOY UTM SSB -5KN,LoveJoy L75,LOVEJOY 5KN,Nos,3,,0,0,METAL,1
UTM SMPS,LRS-100-24,SMPS,Nos,0,,0,0,ELECTRICAL,1
PT 100,MFI Sensor,PT 100,Nos,5,,0,0,ELECTRICAL,1
WPU 9C TANK,WPU 9C SS TANK,WPU -9C TANK,Nos,1,,0,0,METAL,1
WPU 3C TANK,WPU 3C SS TANK,WPU -3C TANK,Nos,1,,0,0,METAL,1
PTU-MS TANK,MS TANK,MS Tank for Permability Test Unit,Nos,1,,0,0,METAL,1
